#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,4.0,0.3,4.0,0.667
2.0,4.0,0.3,4.0,1.0
3.0,4.0,0.3,4.0,0.6
4.0,4.0,0.3,4.0,0.5
5.0,4.0,0.3,4.0,0.75
