#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,32.0,0.3,32.0,1.865
2.0,32.0,0.3,32.0,2.447
3.0,32.0,0.3,32.0,1.809
4.0,32.0,0.3,32.0,1.861
5.0,32.0,0.3,32.0,1.81
