#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,16.0,0.3,16.0,1.865
2.0,16.0,0.3,16.0,2.053
3.0,16.0,0.3,16.0,1.915
4.0,16.0,0.3,16.0,1.972
5.0,16.0,0.3,16.0,1.952
